Numero domanda;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
1;Marvel;Chi è il vero nome di Iron Man?;4 risposte;__A) Tony Stark__, B) Steve Rogers, C) Bruce Banner, D) Clint Barton;⭐;14/12/2025
2;Marvel;In quale film compare per la prima volta Black Panther?;4 risposte;A) Avengers: Age of Ultron, __B) Captain America: Civil War__, C) Black Panther, D) Infinity War;⭐⭐;14/12/2025
3;Marvel;Loki è fratello biologico di Thor.;Vero/Falso;__Falso__, Vero;⭐⭐;14/12/2025
4;Marvel;Quale gemma dell’Infinito si trova nel bastone di Loki?;6 risposte;A) Spazio, B) Tempo, __C) Mente__, D) Realtà, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
5;Marvel;Scrivi il nome del villaggio natale di Wanda Maximoff.;Risposta aperta;__Sokovia__;⭐⭐⭐⭐;14/12/2025
6;Marvel;Chi è il villain principale di “Avengers: Infinity War”?;4 risposte;A) Ultron, __B) Thanos__, C) Loki, D) Red Skull;⭐⭐;14/12/2025
7;Marvel;Deadpool appartiene originariamente all’universo narrativo della Marvel Comics.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
8;Marvel;Quale personaggio è noto come “Sorcerer Supreme”?;4 risposte;__A) Doctor Strange__, B) Scarlet Witch, C) Ancient One, D) Wong;⭐⭐;14/12/2025
9;Marvel;In quale città vive Peter Parker?;4 risposte;A) Gotham, B) Metropolis, __C) New York__, D) Los Angeles;⭐;14/12/2025
10;Marvel;Quale gemma dell’Infinito è custodita da Vision?;6 risposte;A) Spazio, B) Tempo, __C) Mente__, D) Realtà, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
11;Marvel;Chi è il vero nome di Captain America?;4 risposte;__A) Steve Rogers__, B) Tony Stark, C) Bruce Banner, D) Clint Barton;⭐;14/12/2025
12;Marvel;Quale attrice interpreta Natasha Romanoff?;4 risposte;A) Elizabeth Olsen, B) Brie Larson, __C) Scarlett Johansson__, D) Zoe Saldana;⭐⭐;14/12/2025
13;Marvel;Il martello di Thor si chiama Mjolnir.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
14;Marvel;Chi è il villain principale di “Avengers: Age of Ultron”?;4 risposte;A) Loki, __B) Ultron__, C) Thanos, D) Red Skull;⭐⭐;14/12/2025
15;Marvel;Quale gemma dell’Infinito controlla il tempo?;6 risposte;A) Spazio, __B) Tempo__, C) Mente, D) Realtà, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
16;Marvel;Scrivi il nome del padre di T’Challa.;Risposta aperta;__T’Chaka__;⭐⭐⭐⭐;14/12/2025
17;Marvel;Chi è il villain principale di “Thor: Ragnarok”?;4 risposte;A) Loki, __B) Hela__, C) Surtur, D) Thanos;⭐⭐⭐;14/12/2025
18;Marvel;Spider-Man è stato creato da Stan Lee e Steve Ditko.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
19;Marvel;Quale personaggio è noto come “Winter Soldier”?;4 risposte;A) Clint Barton, B) Sam Wilson, __C) Bucky Barnes__, D) Nick Fury;⭐⭐;14/12/2025
20;Marvel;In quale film compare per la prima volta Captain Marvel?;4 risposte;A) Avengers: Endgame, __B) Captain Marvel__, C) Infinity War, D) Civil War;⭐⭐;14/12/2025
21;Marvel;Chi è il vero nome di Hulk?;4 risposte;A) Tony Stark, B) Steve Rogers, __C) Bruce Banner__, D) Clint Barton;⭐;14/12/2025
22;Marvel;Quale attrice interpreta Wanda Maximoff?;4 risposte;A) Brie Larson, __B) Elizabeth Olsen__, C) Scarlett Johansson, D) Natalie Portman;⭐⭐;14/12/2025
23;Marvel;Il vibranio è il metallo di cui è fatto lo scudo di Captain America.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
24;Marvel;Chi è il villain principale di “Captain America: The First Avenger”?;4 risposte;A) Loki, B) Ultron, __C) Red Skull__, D) Thanos;⭐⭐;14/12/2025
25;Marvel;Quale gemma dell’Infinito controlla la realtà?;6 risposte;A) Spazio, B) Tempo, C) Mente, __D) Realtà__, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
26;Marvel;Scrivi il nome del fratello di Wanda Maximoff.;Risposta aperta;__Pietro Maximoff__;⭐⭐⭐;14/12/2025
27;Marvel;Chi è il villain principale di “Doctor Strange”?;4 risposte;A) Dormammu, __B) Kaecilius__, C) Loki, D) Thanos;⭐⭐⭐;14/12/2025
28;Marvel;Stan Lee appare in cameo in quasi tutti i film Marvel.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
29;Marvel;Quale personaggio è noto come “Falcon”?;4 risposte;A) Clint Barton, __B) Sam Wilson__, C) Bucky Barnes, D) Nick Fury;⭐⭐;14/12/2025
30;Marvel;In quale film compare per la prima volta Spider-Man nel MCU?;4 risposte;A) Avengers: Age of Ultron, __B) Captain America: Civil War__, C) Spider-Man: Homecoming, D) Infinity War;⭐⭐;14/12/2025
31;Marvel;Chi è il vero nome di Hawkeye?;4 risposte;A) Tony Stark, B) Steve Rogers, C) Bruce Banner, __D) Clint Barton__;⭐;14/12/2025
32;Marvel;Quale attore interpreta Doctor Strange?;4 risposte;A) Tom Holland, B) Chris Hemsworth, __C) Benedict Cumberbatch__, D) Mark Ruffalo;⭐⭐;14/12/2025
33;Marvel;Il Tesseract contiene la Gemma dello Spazio.;Vero/Falso;__Vero__, Falso;⭐⭐⭐;14/12/2025
34;Marvel;Chi è il villain principale di “Iron Man”?;4 risposte;A) Loki, __B) Obadiah Stane__, C) Thanos, D) Ultron;⭐⭐;14/12/2025
35;Marvel;Quale gemma dell’Infinito controlla il potere?;6 risposte;A) Spazio, B) Tempo, C) Mente, D) Realtà, __E) Potere__, F) Anima;⭐⭐⭐;14/12/2025
36;Marvel;Scrivi il nome del pianeta natale di Thanos.;Risposta aperta;__Titan__;⭐⭐⭐⭐;14/12/2025
37;Marvel;Chi è il villain principale di “Guardiani della Galassia”?;4 risposte;A) Loki, __B) Ronan l’Accusatore__, C) Thanos, D) Ultron;⭐⭐⭐;14/12/2025
38;Marvel;Nick Fury ha perso un occhio.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
39;Marvel;Quale personaggio è noto come “War Machine”?;4 risposte;A) Tony Stark, __B) James Rhodes__, C) Sam Wilson, D) Clint Barton;⭐⭐;14/12/2025
40;Marvel;In quale film compare per la prima volta Ant-Man?;4 risposte;A) Avengers: Age of Ultron, B) Civil War, __C) Ant-Man__, D) Infinity War;⭐⭐;14/12/2025
41;Marvel;Chi è il vero nome di Black Panther?;4 risposte;A) Killmonger, B) M’Baku, __C) T’Challa__, D) Shuri;⭐;14/12/2025
42;Marvel;Quale attore interpreta Thor?;4 risposte;A) Tom Hiddleston, __B) Chris Hemsworth__, C) Chris Evans, D) Mark Ruffalo;⭐⭐;14/12/2025
43;Marvel;Il Wakanda è nascosto al mondo esterno.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
44;Marvel;Chi è il villain principale di “Black Panther”?;4 risposte;A) Ultron, B) Thanos, __C) Killmonger__, D) Loki;⭐⭐;14/12/2025
45;Marvel;Quale gemma dell’Infinito controlla l’anima?;6 risposte;A) Spazio, B) Tempo, C) Mente, D) Realtà, E) Potere, __F) Anima__;⭐⭐⭐;14/12/2025
46;Marvel;Scrivi il nome della sorella di T’Challa.;Risposta aperta;__Shuri__;⭐⭐⭐;14/12/2025
47;Marvel;Chi è il villain principale di “Captain Marvel”?;4 risposte;A) Loki, B) Ultron, __C) Yon-Rogg__, D) Thanos;⭐⭐;14/12/2025
48;Marvel;I Kree sono una razza aliena.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
49;Marvel;Quale personaggio è noto come “Star-Lord”?;4 risposte;A) Rocket, B) Groot, __C) Peter Quill__, D) Drax;⭐⭐;14/12/2025
50;Marvel;In quale film compare per la prima volta Vision?;4 risposte;A) Avengers, B) Civil War, __C) Age of Ultron__, D) Infinity War;⭐⭐;14/12/2025
51;Marvel;Chi è il vero nome di Scarlet Witch?;4 risposte;A) Natasha Romanoff, B) Carol Danvers, __C) Wanda Maximoff__, D) Pepper Potts;⭐;14/12/2025
52;Marvel;Quale attore interpreta Loki?;4 risposte;A) Chris Hemsworth, B) Benedict Cumberbatch, __C) Tom Hiddleston__, D) Paul Bettany;⭐⭐;14/12/2025
53;Marvel;Il Guanto dell’Infinito è stato creato a Nidavellir.;Vero/Falso;__Vero__, Falso;⭐⭐⭐;14/12/2025
54;Marvel;Chi è il villain principale di “Avengers”?;4 risposte;__A) Loki__, B) Ultron, C) Thanos, D) Red Skull;⭐⭐;14/12/2025
55;Marvel;Quale gemma dell’Infinito è blu?;6 risposte;__A) Spazio__, B) Tempo, C) Mente, D) Realtà, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
56;Marvel;Scrivi il nome del padre di Tony Stark.;Risposta aperta;__Howard Stark__;⭐⭐⭐;14/12/2025
57;Marvel;Chi è il villain principale di “Iron Man 2”?;4 risposte;A) Loki, __B) Whiplash__, C) Ultron, D) Thanos;⭐⭐;14/12/2025
58;Marvel;Rocket Raccoon è un personaggio dei Guardiani della Galassia.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
59;Marvel;Quale personaggio è noto come “Gamora”?;4 risposte;A) Nebula, __B) Gamora__, C) Valkyrie, D) Shuri;⭐⭐;14/12/2025
60;Marvel;In quale film compare per la prima volta Doctor Strange?;4 risposte;A) Avengers, B) Civil War, __C) Doctor Strange__, D) Infinity War;⭐⭐;14/12/2025
61;Marvel;Chi è il vero nome di Ant-Man?;4 risposte;A) Hank Pym, __B) Scott Lang__, C) Sam Wilson, D) Clint Barton;⭐;14/12/2025
62;Marvel;Quale attrice interpreta Captain Marvel?;4 risposte;A) Elizabeth Olsen, B) Scarlett Johansson, __C) Brie Larson__, D) Natalie Portman;⭐⭐;14/12/2025
63;Marvel;Il martello Stormbreaker è stato creato da Eitri.;Vero/Falso;__Vero__, Falso;⭐⭐⭐;14/12/2025
64;Marvel;Chi è il villain principale di “Thor”?;4 risposte;__A) Loki__, B) Ultron, C) Thanos, D) Red Skull;⭐⭐;14/12/2025
65;Marvel;Quale gemma dell’Infinito è verde?;6 risposte;A) Spazio, __B) Tempo__, C) Mente, D) Realtà, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
66;Marvel;Scrivi il nome della figlia adottiva di Thanos.;Risposta aperta;__Gamora__;⭐⭐⭐;14/12/2025
67;Marvel;Chi è il villain principale di “Avengers: Endgame”?;4 risposte;A) Ultron, __B) Thanos__, C) Loki, D) Red Skull;⭐⭐⭐;14/12/2025
68;Marvel;Vision è stato creato da Tony Stark e Bruce Banner.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
69;Marvel;Quale personaggio è noto come “Nebula”?;4 risposte;A) Gamora, __B) Nebula__, C) Valkyrie, D) Shuri;⭐⭐;14/12/2025
70;Marvel;In quale film compare per la prima volta Nick Fury?;4 risposte;A) Avengers, __B) Iron Man__, C) Civil War, D) Infinity War;⭐⭐;14/12/2025
71;Marvel;Chi è il vero nome di War Machine?;4 risposte;A) Tony Stark, __B) James Rhodes__, C) Sam Wilson, D) Clint Barton;⭐;14/12/2025
72;Marvel;Quale attore interpreta Spider-Man nel MCU?;4 risposte;A) Andrew Garfield, B) Tobey Maguire, __C) Tom Holland__, D) Chris Evans;⭐⭐;14/12/2025
73;Marvel;Il Wakanda è governato da una monarchia.;Vero/Falso;__Vero__, Falso;⭐⭐;14/12/2025
74;Marvel;Chi è il villain principale di “Captain America: The Winter Soldier”?;4 risposte;A) Loki, __B) Winter Soldier__, C) Ultron, D) Thanos;⭐⭐⭐;14/12/2025
75;Marvel;Quale gemma dell’Infinito è rossa?;6 risposte;A) Spazio, B) Tempo, C) Mente, __D) Realtà__, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
76;Marvel;Scrivi il nome della sorella di Gamora.;Risposta aperta;__Nebula__;⭐⭐⭐;14/12/2025
77;Marvel;Chi è il villain principale di “Avengers: Age of Ultron”?;4 risposte;A) Loki, __B) Ultron__, C) Thanos, D) Red Skull;⭐⭐;14/12/2025
78;Marvel;Thor è il dio del tuono.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
79;Marvel;Quale personaggio è noto come “Rocket”?;4 risposte;A) Groot, __B) Rocket Raccoon__, C) Drax, D) Star-Lord;⭐⭐;14/12/2025
80;Marvel;In quale film compare per la prima volta Groot?;4 risposte;A) Avengers, B) Civil War, __C) Guardiani della Galassia__, D) Infinity War;⭐⭐;14/12/2025
81;Marvel;Chi è il vero nome di Doctor Strange?;4 risposte;A) Tony Stark, B) Bruce Banner, __C) Stephen Strange__, D) Clint Barton;⭐;14/12/2025
82;Marvel;Quale attrice interpreta Pepper Potts?;4;;;
83;Marvel;Il vero nome di Black Widow è Natasha Romanoff.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
84;Marvel;Chi è il villain principale di “Iron Man 3”?;4 risposte;A) Loki, B) Ultron, __C) Aldrich Killian__, D) Thanos;⭐⭐;14/12/2025
85;Marvel;Quale gemma dell’Infinito è viola?;6 risposte;A) Spazio, B) Tempo, C) Mente, D) Realtà, __E) Potere__, F) Anima;⭐⭐⭐;14/12/2025
86;Marvel;Scrivi il nome della figlia di Hawkeye.;Risposta aperta;__Lila Barton__;⭐⭐⭐;14/12/2025
87;Marvel;Chi è il villain principale di “Thor: The Dark World”?;4 risposte;A) Loki, __B) Malekith__, C) Ultron, D) Thanos;⭐⭐;14/12/2025
88;Marvel;Il personaggio Groot dice solo “Io sono Groot”.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
89;Marvel;Quale personaggio è noto come “Drax il Distruttore”?;4 risposte;A) Rocket, B) Groot, __C) Drax__, D) Star-Lord;⭐⭐;14/12/2025
90;Marvel;In quale film compare per la prima volta Black Widow?;4 risposte;A) Avengers, __B) Iron Man 2__, C) Civil War, D) Infinity War;⭐⭐;14/12/2025
91;Marvel;Chi è il vero nome di Captain Marvel?;4 risposte;A) Natasha Romanoff, B) Wanda Maximoff, __C) Carol Danvers__, D) Pepper Potts;⭐;14/12/2025
92;Marvel;Quale attore interpreta Nick Fury?;4 risposte;A) Laurence Fishburne, B) Idris Elba, __C) Samuel L. Jackson__, D) Morgan Freeman;⭐⭐;14/12/2025
93;Marvel;La gemma dell’anima si trova su Vormir.;Vero/Falso;__Vero__, Falso;⭐⭐⭐;14/12/2025
94;Marvel;Chi è il villain principale di “Spider-Man: Homecoming”?;4 risposte;A) Loki, B) Ultron, __C) Vulture__, D) Thanos;⭐⭐;14/12/2025
95;Marvel;Quale gemma dell’Infinito è gialla?;6 risposte;A) Spazio, B) Tempo, __C) Mente__, D) Realtà, E) Potere, F) Anima;⭐⭐⭐;14/12/2025
96;Marvel;Scrivi il nome della sorella di Loki.;Risposta aperta;__Hela__;⭐⭐⭐;14/12/2025
97;Marvel;Chi è il villain principale di “Avengers: Infinity War”?;4 risposte;A) Ultron, __B) Thanos__, C) Loki, D) Red Skull;⭐⭐⭐;14/12/2025
98;Marvel;Spider-Man è interpretato da Tom Holland nel MCU.;Vero/Falso;__Vero__, Falso;⭐;14/12/2025
99;Marvel;Quale personaggio è noto come “The Ancient One”?;4 risposte;A) Wong, B) Mordo, __C) Ancient One__, D) Doctor Strange;⭐⭐;14/12/2025
100;Marvel;In quale film compare per la prima volta il Guanto dell’Infinito?;4 risposte;A) Avengers, B) Age of Ultron, __C) Thor__, D) Infinity War;⭐⭐⭐;14/12/2025
